Plot;Sample;Date;Time;CO2;DiffCO2;PAR;Assi;IntCO2
9;2;02. Jun;08:41;145;-28;1040;11.3;104
9;3;02. Jun;08:42;138.6;-25;750;9.9;102
9;4;02. Jun;08:44;125.5;-23.8;490;9.5;91
9;5;02. Jun;08:45;123.5;-19.1;310;7.7;96
9;6;02. Jun;08:45;122;-18.1;240;7.1;96
9;7;02. Jun;08:46;120.9;-16.3;180;6.5;97
9;8;02. Jun;08:47;118.9;10.8;0;-4.5;133
9;9;02. Jun;08:54;150.3;-20.2;1900;8;121
9;10;02. Jun;08:54;149.5;-20;1040;8;121
9;11;02. Jun;08:55;148.8;-19.6;750;7.8;120
9;12;02. Jun;08:55;147.6;-18.3;490;7.3;121
9;13;02. Jun;08:56;147.2;-15.2;310;6;121
9;14;02. Jun;08:57;145.9;-15;240;6;116
9;15;02. Jun;08:59;144.3;-11.7;180;4.7;119
9;16;02. Jun;09:00;143.1;7.1;0;-2.9;159
9;17;02. Jun;09:03;203.9;-31.5;1900;12.7;122
9;18;02. Jun;09:03;202.8;-30.1;1040;12.1;126
9;19;02. Jun;09:06;201.3;-28.8;750;11.7;129
9;20;02. Jun;09:07;200.3;-26;490;10.4;132
9;21;02. Jun;09:08;200.1;-21.6;310;8.7;135
9;22;02. Jun;09:09;199.1;-20.8;240;8.3;143
9;23;02. Jun;09:10;198.3;-16.1;180;6.4;152
9;24;02. Jun;09:11;198;6.5;0;-2.7;216
9;25;02. Jun;09:19;253.3;-41;1900;16.4;169
9;26;02. Jun;09:20;253.6;-38.9;1040;15.6;173
9;27;02. Jun;09:21;253.6;-37.6;750;15.1;172
9;28;02. Jun;09:22;253.2;-33.9;490;13.6;173
9;29;02. Jun;09:23;252.9;-29.1;310;11.8;177
9;30;02. Jun;09:24;253;-27.3;240;11;173
9;31;02. Jun;09:25;253;-21.6;180;8.6;193
9;32;02. Jun;09:26;252.4;4.7;0;-2;264
9;33;02. Jun;09:39;299.1;-50.9;1900;20.4;198
9;34;02. Jun;09:40;299.5;-47.7;1040;19.2;203
9;35;02. Jun;09:41;299.7;-46.1;750;18.5;203
9;36;02. Jun;09:41;299.8;-41.1;490;16.3;212
9;37;02. Jun;09:42;299.5;-33.4;310;13.4;224
9;38;02. Jun;09:43;299;-31.5;240;12.6;229
9;39;02. Jun;09:44;299;-25.3;180;10.1;239
9;40;02. Jun;09:45;299.2;3.9;0;-1.7;308
9;42;02. Jun;09:51;356.9;-60.7;1900;24.2;233
9;43;02. Jun;09:52;356.2;-55.9;1040;22.4;230
9;44;02. Jun;09:52;356.2;-53.1;750;21.3;234
9;45;02. Jun;09:53;355.8;-46.8;490;18.7;252
9;46;02. Jun;09:53;356.1;-40.6;310;16.2;265
9;47;02. Jun;09:54;356.7;-33.9;240;13.5;273
9;48;02. Jun;09:55;356.2;-26.5;180;10.5;292
9;49;02. Jun;09:56;356.4;4.3;0;-1.9;365
9;50;02. Jun;10:01;397.1;-67;1900;26.9;286
9;51;02. Jun;10:02;397.6;-63.9;1040;25.8;281
9;52;02. Jun;10:03;397.4;-60;750;24.2;280
9;53;02. Jun;10:03;397.2;-53.6;490;21.5;282
9;54;02. Jun;10:04;396.9;-41.4;310;16.5;292
9;55;02. Jun;10:07;396.3;-39;240;15.5;319
9;56;02. Jun;10:08;396.6;-33.6;180;13.3;326
9;57;02. Jun;10:09;396.6;2.9;0;-1.4;402
9;58;02. Jun;10:19;502;-86.7;1900;34.5;347
9;59;02. Jun;10:20;501.7;-78.1;1040;31.1;346
9;60;02. Jun;10:21;501.4;-71.1;750;28.5;354
9;61;02. Jun;10:21;501.3;-62;490;24.8;379
9;62;02. Jun;10:22;501.4;-47.9;310;19;401
9;63;02. Jun;10:23;501.2;-41.6;240;16.4;409
9;64;02. Jun;10:23;500.1;-33.8;180;13.1;423
9;65;02. Jun;10:24;502;1.7;0;-1.1;504
9;66;02. Jun;10:29;611.2;-105.2;1900;42.7;368
9;67;02. Jun;10:30;610.6;-93.8;1040;37.8;398
9;68;02. Jun;10:31;612.2;-85.3;750;33.9;412
9;69;02. Jun;10:31;611.4;-70.3;490;28.1;446
9;70;02. Jun;10:32;612.7;-55.3;310;21.8;475
9;71;02. Jun;10:33;609.4;-45.4;240;17.9;502
9;72;02. Jun;10:34;609.9;-36.6;180;14.3;522
9;73;02. Jun;10:35;612;1.2;0;-0.9;613
9;74;02. Jun;10:39;706.5;-116.3;1900;46.6;519
9;75;02. Jun;10:39;706;-103.9;1040;41.5;527
9;76;02. Jun;10:40;705;-91.1;750;36.3;527
9;77;02. Jun;10:41;706.5;-73.5;490;28.9;541
9;78;02. Jun;10:42;706.4;-52.2;310;20.4;573
9;79;02. Jun;10:43;705.4;-47.1;240;18.4;578
9;80;02. Jun;10:44;706.8;-38.4;180;15;596
9;81;02. Jun;10:45;704.9;1.4;0;-1.1;705
